E:\Programming\Miniconda3\python.exe D:/Project/Python/Dialogue/Dialogue/run.py
dataset:  ./dataset/DoubanConversaionCorpus/
Namespace(batch_size=150, epochs=5, l2_reg=0.0, learning_rate=0.001, max_utterances=10, max_words=50, rnn1_hidden=200, rnn2_hidden=200, save_path='./checkpoint/douban.MSN.pt', score_file_path='./dataset/DoubanConversaionCorpus/score_file.txt', vocab_size=156157)
MSN(
  (word_embedding): Embedding(156157, 200, padding_idx=0)
  (selector_transformer): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (linear_word): Linear(in_features=100, out_features=1, bias=True)
  (linear_score): Linear(in_features=3, out_features=1, bias=True)
  (transformer_utt): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (transformer_res): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (transformer_ur): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (transformer_ru): TransformerBlock(
    (relu): ReLU()
    (linear1): Linear(in_features=200, out_features=200, bias=True)
    (linear2): Linear(in_features=200, out_features=200, bias=True)
  )
  (cnn_2d_1): Conv2d(6, 16, kernel_size=(3, 3), stride=(1, 1))
  (maxpooling1): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
  (cnn_2d_2): Conv2d(16, 32, kernel_size=(3, 3), stride=(1, 1))
  (maxpooling2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
  (cnn_2d_3): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1))
  (maxpooling3): MaxPool2d(kernel_size=(3, 3), stride=(3, 3), padding=0, dilation=1, ceil_mode=False)
  (affine2): Linear(in_features=576, out_features=300, bias=True)
  (gru_acc): GRU(300, 300, batch_first=True)
  (affine_out): Linear(in_features=300, out_features=1, bias=True)
  (tanh): Tanh()
  (relu): ReLU()
  (dropout): Dropout(p=0.2)
)
X_utterances:  torch.Size([1000000, 10, 50])
X_responses:  torch.Size([1000000, 50])
y_labels:  torch.Size([1000000])

Epoch  1 / 5
Batch[244] - loss: 0.378408  batch_size:150
Batch[245] - loss: 0.358472  batch_size:150
Batch[246] - loss: 0.363381  batch_size:150
Batch[247] - loss: 0.485387  batch_size:150
Batch[248] - loss: 0.362143  batch_size:150
Batch[249] - loss: 0.408791  batch_size:150
Batch[250] - loss: 0.398776  batch_size:150
Batch[251] - loss: 0.343057  batch_size:150
Batch[252] - loss: 0.321453  batch_size:150
Batch[253] - loss: 0.402544  batch_size:150
Batch[254] - loss: 0.505727  batch_size:150
Batch[255] - loss: 0.400920  batch_size:150
Batch[256] - loss: 0.379130  batch_size:150
Batch[257] - loss: 0.356449  batch_size:150
Batch[258] - loss: 0.454212  batch_size:150
Batch[259] - loss: 0.554380  batch_size:150
Batch[260] - loss: 0.386796  batch_size:150
Batch[261] - loss: 0.325768  batch_size:150
Batch[262] - loss: 0.424674  batch_size:150
Batch[263] - loss: 0.401559  batch_size:150
Batch[264] - loss: 0.400837  batch_size:150
Batch[265] - loss: 0.404184  batch_size:150
Batch[266] - loss: 0.469066  batch_size:150
Batch[267] - loss: 0.405946  batch_size:150
Batch[268] - loss: 0.423691  batch_size:150
Batch[269] - loss: 0.501011  batch_size:150
Batch[270] - loss: 0.391786  batch_size:150
Batch[271] - loss: 0.414448  batch_size:150
Batch[272] - loss: 0.395426  batch_size:150
Batch[273] - loss: 0.489599  batch_size:150
Batch[274] - loss: 0.391980  batch_size:150
Batch[275] - loss: 0.485811  batch_size:150
Batch[276] - loss: 0.406525  batch_size:150
Batch[277] - loss: 0.419914  batch_size:150
Batch[278] - loss: 0.495640  batch_size:150
Batch[279] - loss: 0.496422  batch_size:150
Batch[280] - loss: 0.486247  batch_size:150
Batch[281] - loss: 0.461603  batch_size:150
Batch[282] - loss: 0.382048  batch_size:150
Batch[283] - loss: 0.396352  batch_size:150
Batch[284] - loss: 0.495741  batch_size:150
Batch[285] - loss: 0.396598  batch_size:150
Batch[286] - loss: 0.379896  batch_size:150
Batch[287] - loss: 0.345503  batch_size:150
Batch[288] - loss: 0.434440  batch_size:150
Batch[289] - loss: 0.361620  batch_size:150
Batch[290] - loss: 0.326884  batch_size:150
Batch[291] - loss: 0.331384  batch_size:150
Batch[292] - loss: 0.435446  batch_size:150
Batch[293] - loss: 0.355500  batch_size:150
Batch[294] - loss: 0.441439  batch_size:150
Batch[295] - loss: 0.369247  batch_size:150
Batch[296] - loss: 0.439807  batch_size:150
Batch[297] - loss: 0.368945  batch_size:150
Batch[298] - loss: 0.464573  batch_size:150
Batch[299] - loss: 0.415790  batch_size:150
Batch[300] - loss: 0.357842  batch_size:150
Batch[301] - loss: 0.362871  batch_size:150
Batch[302] - loss: 0.392922  batch_size:150
Batch[303] - loss: 0.429207  batch_size:150
Batch[304] - loss: 0.431836  batch_size:150
Batch[305] - loss: 0.448881  batch_size:150
Batch[306] - loss: 0.382275  batch_size:150
Batch[307] - loss: 0.370630  batch_size:150
Batch[308] - loss: 0.372453  batch_size:150
Batch[309] - loss: 0.392210  batch_size:150
Batch[310] - loss: 0.396485  batch_size:150
Batch[311] - loss: 0.379284  batch_size:150
Batch[312] - loss: 0.433049  batch_size:150
Batch[313] - loss: 0.400571  batch_size:150
Batch[314] - loss: 0.433877  batch_size:150
Batch[315] - loss: 0.437210  batch_size:150
Batch[316] - loss: 0.455677  batch_size:150
Batch[317] - loss: 0.444450  batch_size:150
Batch[318] - loss: 0.420993  batch_size:150
Batch[319] - loss: 0.398177  batch_size:150
Batch[320] - loss: 0.468792  batch_size:150
Batch[321] - loss: 0.442089  batch_size:150
Batch[322] - loss: 0.333633  batch_size:150
Batch[323] - loss: 0.446577  batch_size:150
Batch[324] - loss: 0.366042  batch_size:150
Batch[325] - loss: 0.409874  batch_size:150
Batch[326] - loss: 0.409793  batch_size:150
Batch[327] - loss: 0.399324  batch_size:150
Batch[328] - loss: 0.450363  batch_size:150
Batch[329] - loss: 0.465318  batch_size:150
Batch[330] - loss: 0.463199  batch_size:150
Batch[331] - loss: 0.369730  batch_size:150
Batch[332] - loss: 0.437225  batch_size:150
Batch[333] - loss: 0.441729  batch_size:150
Batch[334] - loss: 0.350408  batch_size:150
Batch[335] - loss: 0.429401  batch_size:150
Batch[336] - loss: 0.323341  batch_size:150
Batch[337] - loss: 0.361586  batch_size:150
Batch[338] - loss: 0.419957  batch_size:150
